Author; Title; Date of first Publishing; Genre; Sub-Genre; Confidence Score
;John Irving;1981;Fiction;Literary Fiction;100
;T.H. White;No Value;No Value;No Value;90
;Isaac Asimov;No Value;Science Fiction;No Value;90
;Kurt Vonnegut;1969;Science Fiction;Modern Classics;100
;Robert A. Heinlein;1966;Science Fiction;Space Opera;100
;Albrecht Beutelspacher;No Publish Date;Non-fiction;Education;80
;Harold McGee;1984;Non-fiction;Culinary;100
;Wolfgang Borchert;No Date;No Genre;No Sub-genre;80
;No Value extraction possible;;;;
;Dick Boer;No Value;Theology;Religious Studies;95
;Dick Boer;No Value;No Value;No Value;90
;Reinhard Lieberei;No Value extraction possilbe;No Value extraction possible;No Value extraction possible;90
;Ursula K. Le Guin;1969;Science Fiction;No sub-genre;95
;No Value extraction possible;;;;
;No Value extraction possible;;;;
;André Breton;1937;Fiction;Surrealism;100
;Jirina Prekop;No Date Info;No Genre Info;No Sub-Genre Info;90
;Jerome D. Salinger;1951;Fiction;Coming-of-age;95
;Alexander Wolkow;No Value;No Value;No Value;100
;Adrian Plass;No Value extraction possible;No Value extraction possible;No Value extraction possible;90
;J.R.R. Tolkien;1954;Fantasy;High Fantasy;95
;Astrid Rosenfeld;No data;No data;No data;80
;Astrid Lindgren;1973;Children's Literature;Fantasy;95
Roy Carr; BOWIE: An Illustrated Record;; No Value; No Value;90
;Gudrun Pausewang;No Value;No Value;No Value;100
;M. M. Kaye;1978;Novel;Historical;100
;Frank Pieper;;;;100
;Dan Brown; No Value; Thriller; No Value;100
;Ernest Borneman; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
;Khaled Hosseini;2003;Fiction;Historical Fiction;100
;Douglas Adams;1980;Science Fiction;Space Opera;95
;No Value extraction possible;;;;
;Nicholas Crane;1996;Travel;Literature;95
;Karl Ove Knausgård;2009;Fiction;Autobiographical;100
;Felix Dahn;1876;Historical Fiction;War;100
;No Value extraction possible;;;;
;Ken Robinson;2009;Self-help;Personal Development;100
;Otfried Preußler;1962;Children's literature;Adventure;100
;Alice Munro;2012;Fiction;Short Stories;100
;Herge;1954;Comics;Adventure;100
;Hubert Butler;No Value;No Value;No Value;100
;Philip K. Dick;1955;Science fiction;No Value;95
;J.R.R. Tolkien;1954;Fantasy;High Fantasy;100
;Louisa May Alcott;1868;No Value;No Value;95
;Wilhelm Weischedel;No Value;No Value;No Value;90
;Mark Twain;1876;Fiction;Adventure;100
;Jutta Renz;No Value;Non-fiction;Cooking;95
;Bjarne Stroustrup;1985;Non-Fiction;Programming;100
;Udo Baer/Gabriele Frick-Baer;No Value;No Value;No Value;95
;Jürgen Osterhammel;2009;History;Modern History;100
;John Steinbeck;1937;Fiction;Tragedy;100
;Andreas Steinhöfel;1998;Fiction;Coming-of-age;100
;Tamora Pierce;1983; Fantasy; Young Adult;100
;Eugen Kogon;1946;History;World War II;100
;Christiane F;1978;Non-Fiction;Autobiography;95
;William Shakespeare;1596; Drama; Comedy;95
;Andrej Platonow;No Value extraction possible;No Value extraction possible;No Value extraction possible;90
;GERALD STONE;No Value;Historical;No Value;95
;Meg Rosoff;2004;Young Adult; Post-Apocalyptic;100
;John Buchan;1915;Thriller;Suspense;95
;Dorothy C. Wilson;No Value;No Value;No Value;95
;Wolfgang Herrndorf;No Value;no Value;no Value;95
;Peter Weiss;No Value;No Value;No Value;85
;Beverly H. Renner;No Value;No Value;No Value;100
;PETER HØEG;No Value extraction possible;No Value extraction possible;No Value extraction possible;90
;No Value extraction possible.;;;;
;Danill Charms;1905; Fiction; Absurdist;95
;No Value extraction possilbe;;;;
;L. Moholy-Nagy;1929;Non-fiction;Architecture;95
;Tschingis Aitmatow;No Value;No Value;Roman;90
;No Value extraction possilbe;;;;
;Susan Cooper;1973;Fantasy;Children's literature;100
;Cliff Stoll;1989;Non-Fiction;True Crime;95
;Heinrich Böll;1957;Non-fiction;Travel;95
;J.R.R. Tolkien;1954;Fantasy;Epic Fantasy;100
;Ernest Hemingway;1926;Fiction;Novel;90
;No Value extraction possible;;;;
;Karen Kingston;Keine Information;Keine Information;Keine Information;95
;Antoine de Saint-Exupéry;1943;Fiction;Children;100
;John Robb;No Value;Non-fiction;Oral History;95
;Douglas Adams;1987;Science Fiction;Humor;95
;Michael Ende;1979;Fantasy;High Fantasy;100
;Angela und Karlheinz Steinmüller; No Value; Science Fiction; Utopia;90
;Richard Brautigan; No Value; Western; No Value;80
;Philippe Fix;No Date;Children's literature;Pictorial book;95
;Anna Gavalda;No Value extraction possilbe;Fiction;Contemporary;95
;John Irving;No Value extraction possilbe;No Value extraction possilbe;No Value extraction possilbe;95
;Bernard Cornwell;2004;Historical Fiction;;
;Alan Bradley;2009;Mystery;;
;William Golding;1954;Fiction;Allegorical;95
;Stephen King;1986;Horror;Novel;95
;Dodie Smith;No Value;No Value;No Value;90
;Paul Maar; No Value extraction possilbe; No Value extraction possilbe; No Value extraction possilbe;100
;Kathy Labriola;No Value;Self-help;Relationships;100
;Joseph Heller;1961; Fiction; Satire;100
;Jens-Michael Wüstel;n/a;Non-fiction;Psychology;100
;Stephen Hawking;1988;Science;Physics;100
;Nevil Shute;1957;No Value;No Value;100
;No Value extraction possible;;;;
;Oliver Burkeman;No Value;Nonfiction;Time Management;100
;Sven Plöger;No Value extraction possible;No Value extraction possible;No Value extraction possible;90
;F.M. Dostojewski;1846;Novel;Social Realism;95
;Gerhard Seyfried;1978; Comics; Satire;100
;Italo Calvino;1972;Fiction;Literary;100
;Terry Pratchett;No Value;Fantasy;Humor;95
;Wolfgang Herrndorf;No Value;No Value;No Value;80
;Konrad Lorenz;1949;Non-fiction;Ethology;95
;Douglas Adams;1979;Science Fiction;Space Opera;100
;Else Buschheuer;No Value;No Value;No Value;80
;Richard Brautigan;1968;Fiction;Experimental;100
;No Value extraction possilbe;;;;
;Ralf König;1987;Comic;Comedy;100
;No Value extraction possilbe;;;;
;No Value extraction possible;;;;
;Willi Fährmann;No Value;No Value;No Value;100
;Larry Niven; No Value extraction possilbe; Science Fiction; No Value extraction possilbe;90
S. Rahmstorf;Der Klimawandel;;No Value;No Value;90
;Milena Moser;No Value;No Value;No Value;100
;Renate Huch; No Value; No Value; No Value;85
;Bernhard Schlink;1995;Fiction;Historical;100
;No Value extraction possible;;;;
;Stefan Aust;1985;Non-fiction;History;100
;Astrid Lindgren;1973;Fantasy;Children;100
;Carlos Castaneda;1974;Philosophy;Shamanism;90
;Stephen King;1977;Horror;Thriller;100
;Zeruya Shalev;No Value;No Value;No Value;90
;Anne Frank;1947; Biography; Diary;80
;Walter Kempowski;;Fiction;Historical Fiction;95
;Jeffrey Eugenides;2002;Fiction;Modern Literary;95
;Carlos Ruiz Zafón;2001;Fiction;Literary;100
;Brian Jacques;1986;Fantasy;Animal fantasy;100
;Alex Comfort;1972;Non-fiction;Self-help;100
;J.G. Ballard;No Value;Novel;No Value;100
;Kiana Davenport;No Value;No Value;No Value;90
;Michael Ende;1973;Fantasy;Children's literature;100
;Isabel Allende;1982; Fiction; Magical Realism;100
;Peter L. Berger/Thomas Luckmann;;;;
;Gisela Krahl; No Value; Non-Fiction; Cooking;90
;A.W. Brian Simpson; No Value; History; Legal History;95
;Suzanne Collins;2008; Fiction; Dystopian;90
;Robert A. Caro;1982;Non-fiction;Biography;95
;Chlodwig Poth; No Value extraction possilbe; No Value extraction possilbe; No Value extraction possilbe;90
;John Von Düffel;;Fiction;Novel;90
;Karl Marx;1867;Economics;Political Economy;95
;Anna Seghers;1944;Fiction;Novel;95
;Thomas Melle;No Value;No Value;No Value;100
;Masao Maruyama;No Value;No Value;No Value;90
;No Value extraction possible;;;;
The Day of the Triffids;John Wyndham;1951;Science Fiction;Apocalyptic and Post-Apocalyptic;100
Holger Jung;Momentum;No Value extraction possible;No Value extraction possible;No Value extraction possible;85
Jesper Juul;Dein kompetentes Kind;No Value;Non-fiction;Parenting;100
Constance Debré;Love Me Tender;No Value;No Value;No Value;95
Janne Teller;Krieg Stell dir vor  er wäre hier;;;;90
Christian Stöcker; Nerd Attack!; No Value extraction possible; Non-fiction; Technology;100
Ricardo Semler;The Seven-Day Weekend;No Value extraction possible;Business;Management;100
Georg Klein;Libidissi;No Value;No Value;No Value;90
Günther Wieland;Der Jahrhundertprozess von Nürnberg;No Value;No Value;No Value;90
Hannah Green;Ich hab dir nie einen Rosengarten versprochen;No Value;No Value;No Value;90
Claus Leggewie;Das Ende der Welt  Wie wir sie kannten;No Value;Non-fiction;Environmental Studies;85
Arnold G. Fruchtenbaum;Gesetz und Gesetzlichkeit;No Value;Non-Fiction;Religion;95
Sven Nordqvist;TOM geht in die Luft;Keine Informationen;Keine Informationen;Keine Informationen;100
Karl May;Winnetou;1893;Adventure;Western;100
Angela Sommer-Bodenburg;Der kleine Vampir;1979;Children;Fantasy;90
patti smith;Seventh Heaven;1972;Poetry;No Value;85
Douglas Adams; Per Anhalter durch die Galaxis ;1979;Science Fiction;;95
Walter M. Miller Jr; A Canticle for Leibowitz;1960; Science Fiction; Dystopian;100
Rob Halford; CONFESS; No Value; Autobiography; No Value;100
Gabriel García Márquez;Hundert Jahre Einsamkeit;1967;Novel;Magical Realism;95
Lynn Munsinger;Kuschel das Stachelschwein;;;Children's literature;0
No Value extraction possible;;;;;
Gudrun Pausewang;Ich hab einen Freund in Leningrad;No Value;No Value;No Value;100
Terry Pratchett;Wyrd Sisters;1988;Fantasy;Comic Fantasy;95
Edward Bulwer;Die Letzten Tage Von Pompeji;1834;Historical Fiction;;88
Matt Ruff;Fool on the hill;;;Roman;70
Terry Pratchett;Das Licht der Phantasie;1986;Fantasy;Satire;95
Eric Carle;Die kleine Raupe Nimmersatt;1969;Children's literature;Picture book;95
Jim Woodring;Frank;No Value extraction possible;Graphic Novel;Fantasy;90
Thomas Sautner;Milchblume;No Value;No Value;No Value;95
Learning the bash Shell; Cameron Newham and Bill Rosenblatt; No Value extraction possilbe; Technology; Programming;95
Alice Miller;Das Drama des begabten Kindes;1979;Non-fiction;Psychology;90
Agatha Christie; Dreizehn bei Tisch; No Value; Mystery; Crime;95
Bill Watterson;The Complete Calvin and Hobbes;1985;Comics;Humor;85
No Value extraction possible;;;;;
G. I. Gurdjieff;Beelzebubs Erzählungen für seinen Enkel;1924;Science Fiction;Philosophical Fiction;95
Gert Prokop;Wer stiehlt schon Unterschenkel?;No Value;No Value;No Value;90
Sir Arthur Conan Doyle;Sherlock Holmes: Der Hund von Baskerville;1902;Mystery;Detective;100
Kurt Vonnegut;Galgenvogel;1979;Fiction;Humor;100
No Value extraction possible;;;;;
Ray Bradbury;Fahrenheit 451;1953;Science Fiction;Dystopian;100
Christopher Moore;Die Bibel nach Biff;No Value;No Value;No Value;95
J. R. R. Tolkien;Der Herr der Ringe;1954;Fantasy;High Fantasy;100
Gustave Le Bon;Psychologie der Massen;1895;Non-fiction;Social psychology;100
R.L. Stevenson;Die Schatzinsel;1883;Adventure;Pirate;95
Joe Simpson;Sturz ins Leere;1988;Non-fiction;Survival;95
Ein Fall für Inspektor Canardo;Saat des Schreckens;No Value extraction possible;No Value extraction possible;No Value extraction possible;90
Alison Bechdel;The Essential Dykes to Watch Out For;No Value;Graphic Novel;No Value;95
Stephan Malinowski;Die Hohenzollern und die Nazis;2022;History;World War II;100
Hans-Ulrich Grimm;Die Suppe lügt;No Value;No Value;No Value;100
Ephraim Kishon;Alle Satiren;No Value extraction possible;Satire;No Value extraction possible;85
Carl Sagan;Der Drache in meiner Garage;1995;Non-fiction;Science;100
Rebecca Skloot;The Immortal Life of Henrietta Lacks;2010;Non-fiction;Biography;100
Stendhal;The Charterhouse of Parma;1839;Fiction;Historical;95
Tonke Dragt;Der Brief für den König;1962;Adventure;Fantasy;100
Eric-Emmanuel Schmitt;Adolf H. Zwei Leben;No Value;No Value;No Value;100
Tom Robbins;Jitterbug Perfume;No Value;No Value;No Value;90
James Clavell;Shōgun;1975;Historical Fiction;Saga;100
Barbara Sher;Du musst dich nicht entscheiden  wenn du tausend Träume hast;No Value;No Value;No Value;100
Erich Kästner;Die 13 Monate;1955;Fiction;Poetry;95
Judith Kerr;Als Hitler das rosa Kaninchen stahl;1971;Historical Fiction;Biographical Fiction;100
Luis Murschetz;Der Maulwurf Grabowski;No value;Children's literature;Picture book;95
Joseph Heller;Catch-22;1961;Fiction;War;95
Brenda Aloff; Canine Body Language: A Photographic Guide; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
Peter Stamm; Agnes; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
Johann Wolfgang Goethe;Die Leiden des jungen Werther;1774;Fiction;Romance;100
Anne Frank; Tagebuch;1947; Biography; Diary;100
Michael Ende;Der satanarchäolügenialkohöllische Wunschpunsch;1989;Fantasy;Children;90
Franz Kafka;Der Prozeß;1925;Fiction;Absurdist Fiction;100
No Value extraction possilbe;;;;;
Keith Dowman;Der heilige Narr;No Value;No Value;No Value;100
J.R.R. Tolkien;Der Herr der Ringe;1954;Fantasy;High fantasy;100
Erich Fried;Gedichte;No Value;Poetry;No Value;90
Terry Pratchett;Small Gods;1992;Fantasy;Satire;100
Suzanne Collins;The Hunger Games;2008;Science Fiction;Dystopian;100
Antoine De Saint-Exupéry; Der Kleine Prinz;1943; Fiction; Children's;100
t. coraghessan boyle;The Tortilla Curtain;No Value extraction possible;No Value extraction possible;No Value extraction possible;90
Steven Kellogg;Malwine in der Badewanne;No Value;Children;Picture Book;85
Das Auto heir heißt Ferdinand;Janosch;No Value;No Value;No Value;100
George Orwell;1984;1949;Dystopian;Science Fiction;100
No Value extraction possible;;;;;
Daphne du Maurier;Mein Cornwall;No Value; No Value; No Value;90
Orson Scott Card;Ender's Game;1985;Science Fiction;Space Opera;100
Sue Townsend;The Secret Diary of Adrian Mole Aged 13 3/4;1982;Comedy;Young Adult;95
Alice Walker;Sie Hüten Das Geheimnis Des Glücks;No Value;No Value;No Value;90
No Value extraction possilbe;;;;;
Blumen für den Mond;Ralph Steadman;No Value;No Value extraction possible;No Value extraction possible;90
Donald A. Norman;The Design of Everyday Things;1988;Non-Fiction;Design;100
Joseph Heller;Catch 22;1961;Fiction;Satire;90
Jörn Pfennig;Grundlos zärtlich;No value;Poetry;No value;90
Niklaus Wirth;Algorithmen und Datenstrukturen;1976;Computer Science;Algorithms and Data Structures;90
Bertolt Brecht; Brechts Kaukasischer Kreidekreis; No Value; Drama; No Value;80
Iain Banks;The Crow Road;1992;Fiction;Literary;95
Herman Melville;Moby-Dick;1851;Fiction;Adventure;100
Alexandre Dumas;Gesammelte Werke;No Value;No Value;No Value;80
Herodotus;I BOOKS I-II;1920;History;Classical;95
Przemysław Prusinkiewicz;The Algorithmic Beauty of Plants;1990;Non-fiction;Computational Botany;100
No Value extraction possible;;;;;
Boris Vian;Ich werde auf eure Graber spucken;1948;Novel;Crime;90
Stefan Zweig;Ungeduld des Herzens;1939;Fiction;Historical;95
Jules Verne;Reise um die Erde in 80 Tagen;1873;Adventure;Travel;100
Fowler’s Dictionary of Modern English Usage;Jeremy Butterfield;No Value;Reference;English usage;95
Ingrid Trobisch;Du bist eine starke Frau;No Value;No Value;No Value;90
No Value extraction possible;;;;;
Andreas Steinhöfel;Der mechanische Prinz;No Value;No Value;No Value;100
Arthur Rimbaud;Sämtliche Werke;No Value;Poetry;No Value;90
Carol Hill;Amanda;No Value;No Value;No Value;90
Josef Bierbichler;Mittelreich;No Value;No Value;No Value;90
Iain Banks;The Wasp Factory;1984;Fiction;No Value;100
Stanislaw Lem; Solaris; No Value; Science Fiction; No Value;100
Dagmar v. Cramm 95;Kinder-Knigge 100;No Value 0;No Value 0;No Value 0;
No Value extraction possible;;;;;
Astrid Lindgren;Kalle Blomquist;1946;Children's Fiction;Mystery;100
Gerd Krumeich;JEANNE D’ARC IN DER GESCHICHTE;N/A;Historical;Historiography—Politics—Culture;95
Teresa Bücker;Alle_Zeit;No Value;No Value;No Value;100
Judith Kerr;Als Hitler das rosa Kaninchen stahl;1971;Historical Fiction;Young Adult Fiction;95
Arnold Zweig;Das Beil von Wandsbek;No Value;Novel;Historical Drama;90
Jules Claretie;Das Leben und seine Rätsel;No Value;No Value;No Value;90
Elizabeth Marshall Thomas;Das geheime Leben der Hunde;1993;Non-fiction;Animals;90
Paulo Coelho;Der Alchimist;1988;Novel;Fiction;100
Rolf Hochhuth;Der Stellvertreter;1963;Drama;Historical;100
No Value extraction possible;;;;;
Ja;das wollen Kinder kochen No identifiable author  No identifiable first publishing date  Cooking Kids cooking 80;;;;
Franck Pavloff;Brauner Morgen;No Value;No Value;No Value;90
Das große Buch der KUNST Vom Altertum zur Gegenwart;No Value extraction possilbe;;;;
Christopher Moore;Die Bibel nach Biff;No Value;No Value;No Value;90
Josef Rattner;Aggression und menschliche Natur;No Value;Non-fiction;Psychology;90
J.K. Rowling;Harry Potter und der Stein der Weisen;1997;Fantasy;Young Adult;100
Umberto Eco;Der Name der Rose;1980;Historical fiction;Mystery;95
Albert Krölls;Das Grundgesetz als Verfassung des staatlich organisierten Kapitalismus;No Value;Political Science;Economics;90
Christoph Ransmayr;Die letzte Welt;No Value;No Value;No Value;100
Joyce; Ulysses;1922; Fiction; Modernist;100
Ivan Illich;Entschulung der Gesellschaft;1971;Non-fiction;Sociology;95
Dan Saladino;Eating to Extinction;No Value;Non-fiction;Food Culture;100
Dieter Schnack;Kleine Helden in Not: Jungen auf der Suche nach Männlichkeit;No Value;No Value;No Value;100
Lucy Berman;Berühmte Pferde;No Value;No Value;No Value;90
Douglas Adams;Per Anhalter durch die Galaxis;1979;Science Fiction;Comedy;100
Enid Blyton;Geheimnis um ein verborgenes Zimmer;No Value extraction possible;No Value extraction possible;No Value extraction possible;100
No Value extraction possilbe;;;;;
Stanisław Lem;Summa technologiae;1964;Science Fiction;Non-Fiction;100
George Orwell;Nineteen Eighty-Four;1949;Dystopian Fiction;Science Fiction;95
Charlie Dombrow;Shooting Lost Places;No Value;Photography;Urban Exploration;100
Langenscheidt;Lilliput Wörterbuch;No value;No value;Dictionary;90
Derek Fagerstrom et al; Show Me How; No Value extraction possible; Guide; How-to;100
Agota Kristof;Das große Heft;1986;Fiction;Historical Fiction;90
Jeremias Gotthelf;Die schwarze Spinne;1842;Horror;Gothic;100
HR Giger;HR Giger;No Value;Art;Science Fiction;90
No Value extraction possible;;;;;
Eleanor Farjeon;Martin Pippin in the Apple Orchard;1921;Fiction;Classic;100
No Value extraction possible;;;;;
Anatolij Rybakow;Die Kinder vom Arbat;No Value;No Value;No Value;100
Jack Kerouac;Unterwegs;1957;Fiction;Beat Generation;95
Barbara Hambly;Dragonsbane;1985;Fantasy;Epic;100
Ambelin Kwaymullina;Living on Stolen Land;No Value;No Value;No Value;100
Michael Crichton;Dino Park;1990;Science Fiction;Thriller;95
Janosch;Oh  wie schön ist Panama;1978;Children's Literature;Picture Book;100
Sara Ball;Vom Mäuschen  das die Schule schwänzte;No Value;Children's literature;Picture book;100
24 Stunden im 21. Jahrhundert; Peter Glaser; No Value; Science Fiction; Speculative Fiction;70
Jon J Muth; Zen Shorts; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
Alois Prinz;Hannah Arendt oder Die Liebe zur Welt;No Value extraction possible;Biography;Philosophy;80
Juli Breddy;Alles für die Liebe;No Value;Romance;Subgenre not identifiable;90
Otfried Preußler;Krabat;1971;No Value;No Value;100
Christopher Moore;Die Bibel nach Biff;No Value extraction possilbe;No Value extraction possilbe;No Value extraction possilbe;90
Rosa Luxemburg;Briefe;No Value;No Value;No Value;80
WOLF HAAS; Komm süßer Tod; No Value extraction possilbe; No Value extraction possilbe; No Value extraction possilbe;100
Stefan Heym;Kreuzfahrer von heute;No Value;No Value;No Value;95
Victor Hugo; Les Miserables Die Elenden;1862; Fiction; Historical;100
Manipulation im Rückwärtsgang; Dan & Steve Peters/ Cher Merrill; No Value; No Value; No Value;90
Andreas Steinhöfel;Die Mitte der Welt;1998;Fiction;Young Adult;100
ANATHEM;NEAL STEPHENSON;2008;Science Fiction;Dystopian;100
William Gibson;Neuromancer;1984;Science Fiction;Cyberpunk;90
Douglas Adams;The Hitchhiker Trilogy;1979;Science Fiction;Comedy;90
Umberto Eco; The Name of the Rose;1980; Fiction; Mystery;100
Hugo Cornwall;The New Hacker's Handbook;1987;Non-fiction;Computer Security;100
Leon Uris;Exodus;1958;Historical Fiction;No Value;95
Ephraim Kishon; Satiren zur täglichen Katastrophe; No Value; Satire; Humor;95
No Value extraction possilbe;;;;;
Wolfgang Welsch;Ich war Staatsfeind Nr. 1;No Value;Non-fiction;Political;90
No Value extraction possilbe;;;;;
Marion Zimmer Bradley;Die Nebel von Avalon;1982;Fantasy;Historical fantasy;100
Luciano De Crescenzo;Geschichte der griechischen Philosophie;No Value;Philosophy;Greek Philosophy;95
Paul Watzlawick;Anleitung zum Unglücklichsein;No Value;Non-fiction;No Value;95
Gaby von Borstel;Heinrich Heine eine Lebensfahrt;;No Value;No Value;100
Sibylle Berg; Sex; Keine Informationen; Roman; Keine Informationen;95
Maxim Gorki;Die Mutter;1906;Fiction;Realist;80
Robert Muchamore;TOP SECRET;No Data Available;Young Adult;Mystery;95
Robert Gernhardt;Gedichte 1954-1997;1954;Poetry;;95
SUZY BECKER;Was man im Leben wirklich braucht  habe ich von meiner Katze gelernt;No Value;No Value;No Value;95
Andrea Brackmann;Jenseits der Norm - hochbegabt und hoch sensibel?;No Value extraction possible;No Value extraction possible;No Value extraction possible;95
Heinz Sobota;Der Minus Mann;No Value;No Value;No Value;90
Strugatzki Picknick am Wegesrand;Strugatzki Brothers;1971;Science Fiction;Speculative;95
John Irving;Witwe für ein Jahr;1998;Novel;Literary fiction;90
F. Scott Fitzgerald;Der letzte Taikun;1941;Fiction;Novel;90
Robert Walser;Der Gehülfe;1908;Fiction;Literary;100
John le Carré;The Spy Who Came in from the Cold;1963;Fiction;Spy Thriller;100
Clifford Stoll;Kuckucksei;1989;Non-Fiction;Cybersecurity;100
No Value extraction possilbe;;;;;
von Ameln Gerstmann Kramer;Psychodrama;No Value;No Value;No Value;90
No Value extraction possible;;;;;
No Value extraction possilbe;;;;;
Rabbi Marc Gellman;Wie buchstabiert man Gott?;;No Value;No Value;95
Robert Merle;Malevil;No Value;No Value;No Value;90
Hoffmann Rösch;Grundlagen Stile Gestalten der deutschen Literatur;No Value;No Value;No Value;90
No Value extraction possible;;;;;
Leslie Lamport;Das LaTeX Handbuch;No Value;No Value;No Value;100
No Value extraction possible;;;;;
Daniel Defoe;Robinson Crusoe;1719;Novel;Adventure;100
Terry Pratchett;Small Gods;1992;Fantasy;N/A;100
Susan Cooper;The Dark is Rising;1973;Fantasy;Young Adult;100
Christiane F.;Wir Kinder vom Bahnhof Zoo;1978;No Value;No Value;100
Evelyn Cleve;Helen Keller;;;;0
John Irving;Die wilde Geschichte vom Wassertrinker;No value;No Value;No Value;100
Annemarie Selinko;Désirée;1951;Historical Fiction;Romance;90
William Gibson;Neuromancer;1984;Science Fiction;Cyberpunk;100
Hildesheimer; Lieblose Legenden;1972; Fiction; Short Stories;90
Bill Watterson;The Days Are Just Packed;No Value;Comics;Fiction;100
Arnulf Zitelmann; Sirrahs Träume; No Value; No Value; No Value;70
Franz Fühmann;Vor Feuerschlünden;1974;Poetry;No sub-genre;100
Yukito Kishiro;Battle Angel Alita;1990;Science Fiction;Manga;100
Hermann Hesse;Siddhartha;1922;Fiction;Philosophical;95
Ton Veerkamp; DIE WELT ANDERS; No Value; Political Science; Political History;100
Vonda McIntyre;Die Traumschlange;No Value;Science Fiction;Novel;90
Becky Chambers;the long way to a small angry planet;2014;Science Fiction;Space Opera;100
Suzanne Collins;The Hunger Games Trilogy;2008;Young Adult;Dystopian;95
No Value extraction possible;;;;;
Mary Crow Dog;Lakota Woman;No Value extraction possible;No Value extraction possible;No Value extraction possible;100
Ulrich Plenzdorf;Die neuen Leiden des jungen W.;1972;Fiction;Contemporary;95
Dylan Thomas;Under Milk Wood;1954;Drama;Play;100
j.d. salinger;der fänger im roggen;1951;fiction;coming-of-age;90
Evelyn Waugh;Wiedersehen mit Brideshead;1945;Fiction;Historical;90
Charlotte von Mahlsdorf;Ich bin meine eigene Frau;No Value;No Value;No Value;100
Rob Hopkins;Stell Dir Vor...;No Value;No Value;No Value;90
Aldous Huxley;Island;1962;Science Fiction;Utopian;100
Peter O'Donnell;Modesty Blaise;No value;No value;No value;95
Marion Zimmer Bradley;Die Nebel von Avalon;1982;Fantasy;Arthurian Legend;95
Stanislaw Lem;Sterntagebücher;No Value;Science Fiction;No Value;95
Thomas Bernhard; Auslöschung;1986; Fiction; Literary;90
Richard Ford;Der Sportreporter;No Value;No Value;No Value;100
Richard Ford;Der Sportreporter;No Value;No Value extraction possible;No Value extraction possible;100
James Joyce;Ulysses;1922;Fiction;Modernist;95
Tina Caspari;Bille und Zottel: Mit einem Pferd durch dick und dünn;No Value;Children's literature;No Value;85
Stephen King;es;1986;Horror;Psychological Horror;90
Heinrich Böll;Die verlorene Ehre der Katharina Blum;1974;Fiction;Literary;95
jeffrey zeldman;designing with web standards;2003;Non-Fiction;Technology;95
No Value extraction possible;;;;;
Zygmunt Bauman;Moderne und Ambivalenz;No Value;No Value extraction possible;No Value extraction possible;90
FLIX;Da war mal was...;No Value extraction possilbe;No Value extraction possilbe;No Value extraction possilbe;95
T.C. Boyle;World's End;No Value;No Value;No Value;90
Jeffrey E.F. Friedl;Mastering Regular Expressions;2006;Computing;Programming;100
Walter Farley;Blitz: Der Schwarze Hengst;1941; Fiction;Adventure;95
Hugo Portisch - Sepp Riff; Der lange Weg zur Freiheit; No Value; No Value; No Value;90
Victor Klemperer;Ich will Zeugnis ablegen bis zum letzten;1995;Non-fiction;Diary;100
Robert Harris;Vaterland;No Value;Historical Fiction;Alternate History;100
No Value extraction possible;;;;;
Astrid Lindgren;MEINE KUH will auch Spaß haben;No Value;No Value;No Value;95
Raymond Chandler;Der tiefe Schlaf - Der lange Abschied - Chandler über Chandler;No Value;No Value extraction possible;No Value extraction possible;100
No Value extraction possible;;;;;
Margaret Weis and Tracy Hickman;Dragons of Autumn Twilight;1984;Fantasy;High Fantasy;100
Carmen Rohrbach;Jakobsweg;No Value;Travel;Adventure Travel;95
Sarah Murgatroyd;The Dig Tree;No Value;No Value;No Value;100
Ray Bradbury;Die Mars-Chroniken;1950;Science Fiction;No Value;100
Hans Hass;Vorstoß in die Tiefe;No Value;No Value;No Value;80
Walter Jon Williams;Aristoi;1992;Science Fiction;Hard Science Fiction;95
anna kavan;ice;1967;Science fiction;Dystopian;100
Viktor E. Frankl;Man's Search for Meaning;1946;Non-fiction;Psychology;100
Walter Moers;Die 13 1/2 Leben des Käpt'n Blaubär;;Novel;;100
No Value extraction possible;;;;;
Hape Kerkeling;Ich bin dann mal weg;2006;Travel;Biography;95
Cili Wethekam;Mamie 1780-1794;No Value;No Value extraction possible;No Value extraction possible;100
Agatha Christie;Death on the Nile;1937;Mystery;Fiction;100
Erich Kästner;Der kleine Mann und die kleine Miss;No Value;No Value;No Value;90
Hans Fallada;Damals bei uns Daheim;No Value;No Value;No Value;90
Marquis de Sade;Die Philosophie im Boudoir oder Die lasterhafte Lehrmeister;1795;Philosophy/Erotic Fiction;;
No Value extraction possible;;;;;
Rudolf Flesch;How To Make Sense;No Value;No Value;No Value;100
Reinhard Schmoeckel;Die Indoeuropäer: Aufbruch aus der Vorgeschichte;No Value;No Value;No Value;100
Douglas Adams;Lachs im Zweifel;2002;Science Fiction;Humor;100
Jostein Gaarder;Durch einen Spiegel  in einem dunklen Wort;No Value extraction possilbe;Fiction;Philosophical;95
Erich Kastner;Das doppelte Lottchen;1949;Children's literature;Twin fiction;95
Michael Ackermann;Jesus Freaks;No Value;No Value;No Value;100
Juri Rytchëu;Traum im Polarnebel;;;;75
